precision;recall;f1
0,708989024;0,609910727;0,6557284
0,781553924;0,842144966;0,810718894
0,733711421;0,751889646;0,742689312
0,646946371;0,678667903;0,662427604
0,653254151;0,508304417;0,571735203
0,673103809;0,650999427;0,661867082
0,719857574;0,665293813;0,691501021
0,741391003;0,711142063;0,725951552
0,70670253;0,700945139;0,703812063
0,697608948;0,65568763;0,675998986
0,750408471;0,748174906;0,749290049
0,689665794;0,719460726;0,70424825
0,650290072;0,632098317;0,641065121
0,784532189;0,771180868;0,777799249
0,716814101;0,735613048;0,726091921
0,805971861;0,900252819;0,850507498
0,70557642;0,726293683;0,715785205
0,662327766;0,698318958;0,67984736
0,709482193;0,65423429;0,680739105
0,789192319;0,741726756;0,764723718
0,680576146;0,682668746;0,681620836
0,667496443;0,671044707;0,669265866
0,715695739;0,698250115;0,706865311
0,696594357;0,688008606;0,692274868
0,76608938;0,751721501;0,758837402
0,660734713;0,709748924;0,684365332
0,647406697;0,552160144;0,596002102
0,697281897;0,721039534;0,708961725
0,719848335;0,627945602;0,670763671
0,68145293;0,543406606;0,604650617
0,663466692;0,560532451;0,60767132
0,710374653;0,653558433;0,680783153
0,628042042;0,704556584;0,664102614
0,688450038;0,848253071;0,760042489
0,671931744;0,621964216;0,64598316
0,688867688;0,639241338;0,663127363
0,677747548;0,635635197;0,656016231
0,679685533;0,624578297;0,650967717
0,683381259;0,782449484;0,729567587
0,718036711;0,554869413;0,625995278
0,654156804;0,565567195;0,606644869
0,688259304;0,630259097;0,657983482
0,658126652;0,678652465;0,668231964
0,756479502;0,718067348;0,736773074
0,723495245;0,724101901;0,723798454
0,714979649;0,792022586;0,75153172
0,724693239;0,793987513;0,757759452
0,693802536;0,585858941;0,635278046
0,721285522;0,7373299;0,729219437
0,755257964;0,756977797;0,756116927
0,718122005;0,660827816;0,688284576
0,707427382;0,592208028;0,644710302
0,629309058;0,623572409;0,626427531
0,674665213;0,601802111;0,636154056
0,632783115;0,603588104;0,617840886
0,689004898;0,592414141;0,637069106
0,710128069;0,706311405;0,708214521
0,645585597;0,62800771;0,636675358
0,785442591;0,670387328;0,723368526
0,705828309;0,605494082;0,651822686
0,674418092;0,682608485;0,678488553
0,710784435;0,664986849;0,687123358
0,635910571;0,647117138;0,641464949
0,645686746;0,746779203;0,692563295
0,701859534;0,622934341;0,660045981
0,681286573;0,627506614;0,653291643
0,623497248;0,741153836;0,677253544
0,682661593;0,711091518;0,696586609
0,695458651;0,687987983;0,691703141
